ID,Title,Artist,Genre,Loudness,Energy,Tempo,Duration,Acousticness,Danceability
R01,Echoes_of_Fire,Ironpulse,Rock,0.828,0.835,0.735,238,0.117,0.429
R02,Midnight_Riot,The_Volt_Axe,Rock,0.793,0.911,0.867,261,0.074,0.529
R03,Broken_Skyline,Red_Highway,Rock,0.862,0.759,0.633,245,0.149,0.357
R04,Thundercry,Steel_Nova,Rock,0.81,0.949,1,272,0.043,0.5
R05,Black_Horizon,Neon_Rebels,Rock,0.776,0.861,0.786,231,0.096,0.471
R06,Wasteland_Hearts,Atomic_Wolf,Rock,0.73,0.658,0.602,220,0.202,0.329
R07,Iron_Waves,Stone_Pulse,Rock,0.84,0.797,0.694,240,0.128,0.4
R08,Crimson_Night,Volt_Edge,Rock,0.799,0.873,0.816,260,0.085,0.486
R09,Silent_Thunder,Red_Echo,Rock,0.822,0.823,0.765,250,0.106,0.457
R10,Lava_Horizon,Steel_Blaze,Rock,0.787,0.899,0.837,235,0.064,0.514
R11,Shadow_Strike,Atomic_Flame,Rock,0.805,0.848,0.796,242,0.096,0.443
R12,Steel_Tempest,Iron_Blade,Rock,0.834,0.785,0.673,228,0.138,0.386
R13,Burning_Echoes,Red_Voltage,Rock,0.793,0.886,0.857,255,0.074,0.5
R14,Gravity_Fall,Neon_Strike,Rock,0.816,0.81,0.714,230,0.117,0.414
R15,Storm_Rider,Volt_Pulse,Rock,0.828,0.835,0.745,237,0.106,0.429
R16,Crimson_Horizon,Steel_Nova,Rock,0.799,0.861,0.806,245,0.085,0.471
E01,Skywave_Dreams,DJ_Spectrum,EDM,0.912,0.975,0.592,210,0.011,0.943
E02,Neon_Drops,FluxUnit,EDM,0.932,0.924,0.551,198,0,1
E03,Pulse_Reactor,Synthishock,EDM,0.874,1,0.663,222,0.021,0.893
E04,Aurora_Spiral,TranceFlow,EDM,0.845,0.9,0.714,245,0.011,0.929
E05,Binary_Sparks,DigitalVibe,EDM,0.926,0.949,0.571,204,0,0.957
E06,Electro_Mirage,Wave_Silk,EDM,0.856,0.886,0.49,193,0.032,0.857
E07,Luminous_Wave,DJ_Vibe,EDM,0.901,0.911,0.633,215,0.011,0.914
E08,Neon_Flux,Trance_Rush,EDM,0.938,0.962,0.561,208,0,0.971
E09,Electric_Dream,Wave_Sonic,EDM,0.886,0.937,0.612,220,0.021,0.886
E10,Synth_Reactor,Digital_Flow,EDM,0.85,0.873,0.694,230,0.011,0.871
E11,Photon_Spiral,DJ_Orbit,EDM,0.868,0.949,0.582,210,0,0.929
E12,Plasma_Rush,Trance_Wave,EDM,0.88,0.924,0.643,225,0.011,0.893
E13,Laser_Beats,Flux_Sonic,EDM,0.926,0.962,0.602,205,0,0.957
E14,Neon_Cascade,DJ_Surge,EDM,0.906,0.937,0.653,218,0.011,0.914
E15,Digital_Horizon,Synthishock,EDM,0.874,0.987,0.622,222,0,0.943
E16,Electro_Lumina,Wave_Silk,EDM,0.856,0.9,0.673,230,0.021,0.886
P01,Starlit_Eyes,Mira_Ava,Pop,0.787,0.709,0.459,233,0.181,0.8
P02,Heartline,Zyre,Pop,0.805,0.747,0.51,215,0.149,0.857
P03,Blue_Lemonade,Livia_Star,Pop,0.769,0.658,0.388,248,0.223,0.757
P04,Daydream_Run,Nova_Leigh,Pop,0.834,0.81,0.592,220,0.117,0.829
P05,Sunset_Bloom,Harper_Rose,Pop,0.799,0.734,0.418,205,0.202,0.771
P06,Lost_in_Neon,Kaylix,Pop,0.85,0.835,0.531,230,0.138,0.843
P07,Crystal_Sky,Aria_Star,Pop,0.828,0.772,0.49,225,0.16,0.814
P08,Luminous_Heart,Lyra_Sun,Pop,0.81,0.797,0.52,218,0.149,0.829
P09,Rainbow_Drive,Zara_Moon,Pop,0.793,0.734,0.408,235,0.191,0.786
P10,Golden_Fade,Nova_Rain,Pop,0.822,0.823,0.5,228,0.138,0.857
P11,Neon_Dream,Mira_Ava,Pop,0.805,0.785,0.541,232,0.149,0.843
P12,Velvet_Night,Livia_Star,Pop,0.816,0.81,0.479,220,0.128,0.814
P13,Shimmering_Waves,Harper_Rose,Pop,0.799,0.759,0.469,225,0.181,0.8
P14,Starry_Ride,Kaylix,Pop,0.828,0.797,0.51,230,0.138,0.829
P15,Sunlit_Horizons,Aria_Star,Pop,0.81,0.772,0.49,222,0.16,0.814
P16,Neon_Breeze,Lyra_Sun,Pop,0.822,0.81,0.52,228,0.149,0.843
C01,Sonata_of_Dawn,A_Vereni,Classical,0.15,0.076,0.122,320,0.947,0.1
C02,Whispering_Strings,D_Hanori,Classical,0.057,0.025,0.061,410,0.979,0.043
C03,Celestial_Waltz,M_Aurelius,Classical,0.104,0.114,0.204,345,0.926,0.143
C04,Echoes_of_Winter,T_Novakov,Classical,0.191,0.177,0.143,298,0.894,0.071
C05,Emerald_Nocturne,E_Florentina,Classical,0,0,0,450,1,0
C06,Moonlit_Reverie,L_Aramont,Classical,0.089,0.152,0.184,333,0.915,0.114
